,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
63,Coral Reef,Homelands,0.1,0.1,0.242754242815113,0.135140784828733,0.1,0.202962255136168,0.20595222788897,0.2,0.203282979416511,0.186546223448475,0.138377478651035,0.21183495412977,0.221751455520809,0.105913805061372,0.1,0.1,0.293393634176884,0.3,0.247756709199127,0.13429977246047,0.200450454508599,0.187112753739729,0.196404831467284,0.158991565678496,0.1,0.219243497355643,0.249394534446081,0.2
64,Smoldering Spires,Worldwake,0.1,0.1,0.424877896781113,0.6,0.6,0.6,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.294294543194083,0.3,0.205929383936384,0.2,0.2,0.300515469231642,0.3,0.275655600731589,0.398048631068748,0.158590810214538,0.250605465553919,0.3
65,Shriek of Dread,Planeshift,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.260660456400508,0.305841812802194,0.375163238494872,0.296272319372623,0.513063631203885,0.2,0.256969217622139,0.3
66,Morsel Theft,Morningtide,0.1,0.174814720163557,0.244203539181727,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.159420426382991,0.174011220434071,0.2,0.2,0.2,0.2,0.107894182818195,0.194070616063616,0.2,0.218168181695331,0.297766471819297,0.3,0.183333991236727,0.179579545761674,0.279551851050011,0.5,0.2
67,Drain the Well,Eventide,0.258617835712808,0.3,0.406766040087537,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.253069777233911,0.197747727457004,0.107894182818195,0.194070616063616,0.2,0.2,0.27250847946886,0.3,0.207675758891564,0.281681816953306,0.2,0.2,0.3
68,Uktabi Efreet,Weatherlight,0.2,0.2,0.104589196944883,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.200450454508599,0.2,0.2,0.257456019158147,0.3,0.240378251322179,0.149394534446081,0.240079048560102
69,Maniacal Rage,Conflux,0.1,0.1,0.424877896781113,0.6,0.6,0.6,0.6,0.266667555567408,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.295614415979158,0.205929383936384,0.140096957926927,0.199699096388256,0.205326343570552,0.2,0.132456348109844,0.296096811682988,0.1,0.1,0.3
70,Krark-Clan Ogre,Fifth Dawn,0.1,0.151481127568084,0.561353063087871,0.6,0.200282629513809,0.1,0.2,0.2,0.145075720270608,0.167268882757624,0.2,0.2,0.2,0.230107743673285,0.265916359606843,0.2,0.2,0.2,0.2,0.2,0.2,0.300515469231642,0.3,0.181578047079567,0.359459544680583,0.3,0.3,0.3
71,Kjeldoran Dead,Ice Age,0.1,0.1,0.151690604211655,0.177510572416535,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.202702727051595,0.104166502190818,0.126876818710078,0.1,0.1,0.1,0.204954999594591,0.2,0.2,0.4063632416216,0.171922269569996,0.205841297332962,0.3,0.2
72,Bogardan Firefiend,Weatherlight,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1998273178074,0.274836761505128,0.223245700601324,0.2,0.2,0.2,0.270039524280051
73,Taste for Mayhem,Dissension,0.24827229464101,0.3,0.3,0.3,0.3,0.3,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.206139554467822,0.150450454508599,0.1,0.1,0.205797185466456,0.2,0.300515469231642,0.3,1.07499506572455,0.74039180533158,0.15910627944618,0.2,0.3
